timestamp,user_id,device_id,event_type,source_ip,destination_ip,process_name,resource_id,risk_score,outcome
2026-07-20T08:00:00+00:00,user-01,pc-01,login,10.0.0.20,,,,0.143,normal
2026-07-20T08:05:00+00:00,user-02,pc-02,login,10.0.0.21,,,,0.122,normal
2026-07-20T08:10:00+00:00,user-03,pc-03,login,10.0.0.22,,,,0.134,normal
2026-07-20T08:15:00+00:00,user-04,pc-04,login,10.0.0.23,,,,0.14,normal
2026-07-20T08:20:00+00:00,user-05,pc-05,login,10.0.0.24,,,,0.065,normal
2026-07-20T08:25:00+00:00,user-06,pc-06,login,10.0.0.25,,,,0.272,normal
2026-07-20T08:30:00+00:00,user-07,pc-07,login,10.0.0.26,,,,0.171,normal
2026-07-20T08:35:00+00:00,user-08,pc-08,data_access,10.0.0.27,10.0.1.12,,erp,0.143,normal
2026-07-20T08:40:00+00:00,user-09,pc-09,login,10.0.0.28,,,,0.163,normal
2026-07-20T08:45:00+00:00,user-10,pc-10,login,10.0.0.29,,,,0.098,normal
2026-07-20T08:50:00+00:00,user-11,pc-11,process_start,10.0.0.30,,explorer.exe,,0.205,normal
2026-07-20T08:55:00+00:00,user-12,pc-12,process_start,10.0.0.31,,explorer.exe,,0.178,normal
2026-07-20T09:00:00+00:00,user-01,pc-01,login,10.0.0.20,,,,0.229,normal
2026-07-20T09:05:00+00:00,user-02,pc-02,process_start,10.0.0.21,,chrome.exe,,0.07,normal
2026-07-20T09:10:00+00:00,user-03,pc-03,login,10.0.0.22,,,,0.179,normal
2026-07-20T09:15:00+00:00,user-04,pc-04,login,10.0.0.23,,,,0.235,normal
2026-07-20T09:20:00+00:00,user-05,pc-05,login,10.0.0.24,,,,0.249,normal
2026-07-20T09:25:00+00:00,user-06,pc-06,login,10.0.0.25,,,,0.208,normal
2026-07-20T09:30:00+00:00,user-07,pc-07,login,10.0.0.26,,,,0.153,normal
2026-07-20T09:35:00+00:00,user-08,pc-08,login,10.0.0.27,,,,0.14,normal
2026-07-20T09:40:00+00:00,user-09,pc-09,login,10.0.0.28,,,,0.249,normal
2026-07-20T09:45:00+00:00,user-10,pc-10,data_access,10.0.0.29,10.0.1.11,,erp,0.261,normal
2026-07-20T09:50:00+00:00,user-11,pc-11,login,10.0.0.30,,,,0.176,normal
2026-07-20T09:55:00+00:00,user-12,pc-12,login,10.0.0.31,,,,0.175,normal
2026-07-20T10:00:00+00:00,user-01,pc-01,login,10.0.0.20,,,,0.267,normal
2026-07-20T10:05:00+00:00,user-02,pc-02,login,10.0.0.21,,,,0.093,normal
2026-07-20T10:10:00+00:00,user-03,pc-03,login,10.0.0.22,,,,0.242,normal
2026-07-20T10:15:00+00:00,user-04,pc-04,login,10.0.0.23,,,,0.101,normal
2026-07-20T10:20:00+00:00,user-05,pc-05,process_start,10.0.0.24,,explorer.exe,,0.076,normal
2026-07-20T10:25:00+00:00,user-06,pc-06,login,10.0.0.25,,,,0.081,normal
2026-07-20T10:30:00+00:00,user-07,pc-07,process_start,10.0.0.26,,chrome.exe,,0.058,normal
2026-07-20T10:35:00+00:00,user-08,pc-08,login,10.0.0.27,,,,0.189,normal
2026-07-20T10:40:00+00:00,user-09,pc-09,login,10.0.0.28,,,,0.232,normal
2026-07-20T10:45:00+00:00,user-10,pc-10,login,10.0.0.29,,,,0.222,normal
